analyst_id,soc_id,name,role,skill_level,shift,status,created_at
AN-00001,SOC-001,Aarav Costa,TIER1,1,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00002,SOC-001,Nadia Kim,TIER2,2,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00003,SOC-001,Sara Sharma,TIER2,2,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00004,SOC-001,Tomas Sharma,TIER2,4,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00005,SOC-001,Tomas Silva,TIER1,2,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00006,SOC-001,Maria Larsen,TIER3,5,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00007,SOC-001,Nadia Petrov,SUPERVISOR,5,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00008,SOC-001,Ingrid Novak,TIER2,4,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00009,SOC-001,Chen Iyer,TIER3,4,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00010,SOC-001,Ingrid Haddad,TIER1,1,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00011,SOC-001,Chen Haddad,TIER1,1,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00012,SOC-001,Tomas Iyer,TIER2,2,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00013,SOC-001,Omar Costa,TIER1,2,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00014,SOC-001,Omar Patel,TIER1,1,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00015,SOC-001,Nadia Costa,TIER2,4,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00016,SOC-001,Sara Silva,TIER1,1,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00017,SOC-001,Elena Moreno,TIER2,3,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00018,SOC-001,Viktor Costa,SUPERVISOR,5,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00019,SOC-002,Aarav Patel,TIER2,2,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00020,SOC-002,Elena Costa,TIER2,3,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00021,SOC-002,Dev Farouk,TIER1,1,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00022,SOC-002,Nadia Sharma,TIER2,4,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00023,SOC-002,Chen Larsen,TIER3,5,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00024,SOC-002,Chen Zhang,TIER2,3,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00025,SOC-002,Aarav Weber,TIER1,1,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00026,SOC-002,Nadia Zhang,SUPERVISOR,5,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00027,SOC-002,Ingrid Sharma,TIER2,2,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00028,SOC-002,Omar Kim,TIER1,2,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00029,SOC-002,Viktor Silva,TIER1,1,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00030,SOC-002,Maria Haddad,TIER2,4,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00031,SOC-002,Nadia Kim,TIER1,1,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00032,SOC-002,Anika Mensah,TIER1,1,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00033,SOC-002,Chen Novak,TIER1,2,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00034,SOC-002,Mei Silva,TIER2,3,MORNING,ACTIVE,2025-08-01T00:00:00Z
AN-00035,SOC-002,Aarav Mensah,TIER1,1,NIGHT,ACTIVE,2025-08-01T00:00:00Z
AN-00036,SOC-002,Lucia Costa,TIER3,5,EVENING,ACTIVE,2025-08-01T00:00:00Z
AN-00037,SOC-002,Anika Patel,TIER1,2,MORNING,ACTIVE,2025-08-01T00:00:00Z
